,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
229,20273,1306,4,1012,14
230,16375,591,55,548,64
231,23770,1723,6,1466,40
232,20293,268,119,194,142
233,16581,242,124,504,72
234,20908,1378,58,1560,14
235,20799,917,188,1210,105
236,22032,1251,95,1177,114
237,22504,923,181,826,208
238,18484,1111,9,997,15
239,17123,58,184,356,90
240,22564,861,201,1201,103
241,22565,1486,33,1400,57
242,22042,1744,2,1539,24
243,20420,708,37,1273,4
244,14908,590,49,255,130
245,18053,982,15,716,37
246,21444,1072,144,857,209
247,19028,820,28,651,44
248,18883,445,77,218,145
249,20599,997,164,1092,138
250,21515,1463,40,1295,82
251,18736,1266,6,918,18
252,23346,1647,12,1392,61
253,21269,1433,45,1092,134
254,16267,639,44,764,30
255,23699,1134,125,1127,129
256,16614,851,24,551,62
257,17607,278,114,64,185
258,16022,485,72,523,64
259,21109,991,166,1020,158
260,20564,1410,49,1430,44
261,23416,1233,95,1507,33
262,16031,601,49,156,153
263,19217,416,85,137,164
264,20056,282,115,52,188
265,20422,1051,12,1198,7
266,20690,1405,52,1430,44
267,21892,1067,142,1433,49
268,22853,1498,30,922,182
269,18230,476,71,267,128
270,15336,616,45,167,149
271,18598,1069,11,1181,8
272,19881,767,35,1325,4
273,22949,1105,132,1227,100
274,20658,1287,85,1172,114
275,21208,1550,17,1478,35
276,18244,1232,7,1382,3
277,20149,502,68,441,75
278,17785,1392,5,1434,4
279,20183,332,101,442,74
280,21312,1384,58,1299,80
281,23010,1177,108,982,165
282,23331,1252,91,1211,98
283,16907,872,21,641,43
284,16450,1028,11,247,126
285,20291,282,115,425,74
286,17497,701,41,478,74
287,17066,879,24,488,60
288,22773,1280,87,1069,146
289,22385,942,179,1200,103
290,16483,150,154,212,137
291,21560,1073,142,1342,68
292,23839,1046,151,1208,100
293,21966,1340,70,1219,100
294,22096,1628,8,1567,18
295,17825,426,80,549,62
296,15780,590,47,788,26
