,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
7409,20092,199,142,706,45
7410,14466,195,133,115,158
7411,22431,1180,108,1492,30
7412,22437,1487,32,1082,136
7413,22445,1427,50,1103,133
7414,20914,1178,113,1160,118
7415,20775,937,181,1080,141
7416,23780,1286,83,842,205
7417,19427,636,53,475,72
7418,23057,1244,94,1515,28
7419,19223,587,57,386,90
7420,14394,806,26,455,71
7421,17429,833,28,705,39
7422,20112,260,124,651,51
7423,23670,995,163,1131,127
7424,21043,1219,103,963,174
7425,22479,1629,11,1415,52
7426,19128,134,164,152,159
7427,17171,421,76,1242,7
7428,22872,1474,37,1752,4
7429,23058,1606,18,1176,109
7430,20519,1286,85,957,175
7431,21189,1484,29,900,195
7432,20484,1540,17,1535,20
7433,17249,561,50,510,63
7434,20019,62,184,31,196
7435,16752,203,128,72,173
7436,15197,861,18,672,36
7437,21777,1287,85,1252,94
7438,15782,870,19,1289,3
7439,15201,335,101,450,72
7440,21641,1490,31,923,183
7441,18865,627,45,369,92
7442,16624,421,85,551,62
7443,23332,1525,28,1441,48
7444,14915,603,44,568,55
7445,17814,546,61,382,85
7446,22325,1312,78,1009,162
7447,20804,873,203,977,168
7448,17530,962,19,521,70
7449,19492,636,53,316,112
7450,15567,337,101,45,192
7451,19657,340,97,149,160
7452,18025,701,40,679,43
7453,19274,254,127,231,133
7454,16121,688,39,458,82
7455,20937,1296,81,1196,109
7456,22207,934,180,1065,145
7457,21231,1681,3,1365,62
7458,15262,205,139,575,53
7459,20407,1241,5,945,20
7460,18041,935,18,349,98
7461,18032,426,76,545,62
7462,22416,1115,128,1187,104
7463,16646,151,150,219,127
7464,23674,1709,7,1674,8
7465,14579,114,160,150,152
7466,22977,1492,31,1522,25
7467,21584,1206,105,1391,57
7468,20383,520,61,773,32
7469,18830,243,137,1041,14
7470,23484,1647,12,1643,13
7471,14529,1605,1,572,52
7472,22069,1351,66,1167,116
7473,23654,1472,39,1535,27
7474,17612,278,114,234,123
7475,19775,90,180,293,110
7476,21542,1652,4,1149,120
7477,23483,1378,62,1346,70
7478,18104,590,53,575,57
7479,22876,1342,72,1273,88
7480,22992,1334,74,1658,9
7481,19312,300,114,291,119
7482,19719,290,112,815,29
7483,22047,1376,63,1076,137
7484,20451,1052,163,1059,162
7485,18333,546,64,760,36
7486,20152,1609,1,1228,6
7487,14490,411,81,737,32
7488,16463,501,70,724,33
7489,21257,1580,13,1396,55
7490,22689,918,183,879,197
7491,15211,909,17,991,13
7492,15530,280,122,298,117
7493,16089,214,138,785,31
7494,23451,1306,79,1484,35
7495,16787,1042,11,665,42
7496,19652,866,25,599,60
7497,15761,375,95,146,154
7498,18508,423,81,789,31
7499,17708,154,145,536,62
7500,16721,1340,2,478,72
7501,22560,850,205,1340,70
7502,15893,496,68,524,62
7503,18259,90,176,605,48
7504,17760,989,19,926,23
7505,19123,1071,14,468,74
7506,20436,2036,12,2014,15
7507,21950,1009,158,975,171
7508,21744,1235,98,999,161
7509,18878,11,203,338,110
7510,18223,244,135,871,26
7511,23655,1131,126,1122,131
7512,17870,547,61,95,173
7513,15323,845,21,486,66
7514,19430,331,100,115,169
7515,20280,268,119,124,161
7516,20631,1525,21,1568,12
7517,22143,1664,4,1593,16
7518,19229,216,138,298,111
7519,21154,1613,6,1327,74
7520,15362,13,200,45,185
7521,17799,226,122,284,111
7522,19938,1446,3,576,63
7523,21539,1489,32,1388,60
7524,16411,309,108,79,173
7525,19455,418,83,615,60
7526,21238,1207,105,1424,49
7527,14733,26,196,160,147
7528,21355,1077,140,1015,158
